freq (Hz),Loop Gain Phase (deg),Loop Gain dB20 (dB)
241.7E6,-166.4,-99.06
251.2E6,-167.1,-99.74
261.0E6,-167.7,-100.4
271.2E6,-168.4,-101.1
281.8E6,-169.1,-101.7
292.9E6,-169.7,-102.4
304.3E6,-170.4,-103.1
316.2E6,-171.1,-103.7
328.6E6,-171.7,-104.4
341.5E6,-172.5,-105.0
354.8E6,-173.2,-105.7
368.7E6,-173.9,-106.3
383.1E6,-174.7,-107.0
398.1E6,-175.5,-107.6
413.7E6,-176.3,-108.3
429.9E6,-177.1,-109.0
446.7E6,-177.9,-109.6
464.2E6,-178.8,-110.3
482.3E6,-179.7,-110.9
501.2E6,-180.7,-111.6
520.8E6,-181.6,-112.3
541.2E6,-182.6,-113.0
562.3E6,-183.6,-113.6
584.3E6,-184.7,-114.3
607.2E6,-185.8,-115.0
631.0E6,-186.9,-115.7
655.6E6,-188.1,-116.4
681.3E6,-189.3,-117.1
707.9E6,-190.6,-117.8
735.6E6,-191.9,-118.6
764.4E6,-193.3,-119.3
794.3E6,-194.7,-120.0
825.4E6,-196.3,-120.8
857.7E6,-197.9,-121.5
891.3E6,-199.6,-122.3
926.1E6,-201.3,-123.1
962.4E6,-203.2,-123.9
1.000E9,-205.3,-124.7
