freq (Hz),Loop Gain dB20 (dB),Loop Gain Phase (deg)
184.8E3,8.326,85.19
192.0E3,7.988,85.32
199.5E3,7.651,85.45
207.3E3,7.313,85.57
215.4E3,6.977,85.68
223.9E3,6.640,85.79
232.6E3,6.304,85.90
241.7E3,5.968,85.99
251.2E3,5.632,86.08
261.0E3,5.296,86.17
271.2E3,4.961,86.25
281.8E3,4.625,86.32
292.9E3,4.290,86.39
304.3E3,3.955,86.45
316.2E3,3.620,86.51
328.6E3,3.286,86.56
341.5E3,2.951,86.61
354.8E3,2.616,86.65
368.7E3,2.282,86.69
383.1E3,1.947,86.72
398.1E3,1.613,86.75
413.7E3,1.279,86.77
429.9E3,944.7E-3,86.79
446.7E3,610.5E-3,86.80
464.2E3,276.4E-3,86.81
482.3E3,-57.68E-3,86.82
501.2E3,-391.7E-3,86.81
520.8E3,-725.7E-3,86.81
541.2E3,-1.060,86.80
562.3E3,-1.394,86.78
584.3E3,-1.728,86.76
607.2E3,-2.062,86.74
631.0E3,-2.395,86.71
655.6E3,-2.729,86.67
681.3E3,-3.063,86.64
707.9E3,-3.397,86.59
735.6E3,-3.731,86.54
764.4E3,-4.065,86.49
794.3E3,-4.399,86.43
825.4E3,-4.733,86.36
857.7E3,-5.067,86.29
891.3E3,-5.401,86.22
926.1E3,-5.735,86.14
962.4E3,-6.069,86.05
1.000E6,-6.403,85.96
1.039E6,-6.737,85.86
1.080E6,-7.071,85.75
1.122E6,-7.405,85.64
1.166E6,-7.739,85.53
1.212E6,-8.074,85.40
1.259E6,-8.408,85.27
1.308E6,-8.742,85.13
1.359E6,-9.077,84.99
1.413E6,-9.411,84.84
1.468E6,-9.746,84.68
1.525E6,-10.08,84.51
1.585E6,-10.42,84.33
1.647E6,-10.75,84.15
1.711E6,-11.09,83.96
1.778E6,-11.42,83.76
1.848E6,-11.76,83.55
1.920E6,-12.09,83.33
1.995E6,-12.43,83.10
2.073E6,-12.76,82.86
2.154E6,-13.10,82.61
2.239E6,-13.44,82.35
2.326E6,-13.77,82.08
2.417E6,-14.11,81.79
2.512E6,-14.45,81.50
2.610E6,-14.78,81.19
2.712E6,-15.12,80.87
2.818E6,-15.46,80.54
2.929E6,-15.80,80.19
3.043E6,-16.14,79.83
3.162E6,-16.47,79.45
3.286E6,-16.81,79.06
3.415E6,-17.15,78.66
3.548E6,-17.50,78.24
3.687E6,-17.84,77.80
3.831E6,-18.18,77.34
3.981E6,-18.52,76.87
4.137E6,-18.86,76.38
4.299E6,-19.21,75.86
4.467E6,-19.55,75.33
4.642E6,-19.90,74.78
4.823E6,-20.24,74.21
5.012E6,-20.59,73.62
5.208E6,-20.94,73.00
5.412E6,-21.29,72.36
5.623E6,-21.64,71.70
5.843E6,-21.99,71.01
6.072E6,-22.35,70.30
6.310E6,-22.70,69.56
6.556E6,-23.06,68.79
6.813E6,-23.42,68.00
7.079E6,-23.78,67.18
7.356E6,-24.14,66.33
7.644E6,-24.51,65.45
7.943E6,-24.88,64.54
8.254E6,-25.25,63.60
8.577E6,-25.62,62.63
8.913E6,-25.99,61.63
9.261E6,-26.37,60.59
9.624E6,-26.75,59.52
10.00E6,-27.14,58.42
10.39E6,-27.53,57.28
10.80E6,-27.92,56.11
11.22E6,-28.31,54.90
11.66E6,-28.72,53.65
12.12E6,-29.12,52.37
12.59E6,-29.53,51.06
13.08E6,-29.94,49.70
13.59E6,-30.36,48.31
14.13E6,-30.79,46.89
14.68E6,-31.22,45.43
15.25E6,-31.66,43.93
15.85E6,-32.10,42.40
16.47E6,-32.55,40.83
17.11E6,-33.00,39.22
17.78E6,-33.47,37.58
18.48E6,-33.93,35.91
19.20E6,-34.41,34.21
19.95E6,-34.89,32.47
20.73E6,-35.39,30.70
21.54E6,-35.89,28.89
22.39E6,-36.39,27.06
23.26E6,-36.91,25.20
24.17E6,-37.43,23.31
25.12E6,-37.96,21.39
26.10E6,-38.50,19.44
27.12E6,-39.05,17.46
28.18E6,-39.61,15.46
29.29E6,-40.18,13.43
30.43E6,-40.75,11.38
31.62E6,-41.34,9.298
32.86E6,-41.93,7.193
34.15E6,-42.53,5.063
35.48E6,-43.15,2.909
36.87E6,-43.77,729.9E-3
38.31E6,-44.40,-1.473
39.81E6,-45.04,-3.699
41.37E6,-45.70,-5.949
42.99E6,-46.36,-8.222
44.67E6,-47.04,-10.52
46.42E6,-47.72,-12.83
48.23E6,-48.42,-15.17
50.12E6,-49.13,-17.53
52.08E6,-49.85,-19.90
54.12E6,-50.59,-22.29
56.23E6,-51.34,-24.69
58.43E6,-52.10,-27.10
60.72E6,-52.88,-29.52
63.10E6,-53.67,-31.94
65.56E6,-54.47,-34.36
68.13E6,-55.29,-36.77
70.79E6,-56.12,-39.18
73.56E6,-56.97,-41.57
76.44E6,-57.84,-43.94
79.43E6,-58.72,-46.28
82.54E6,-59.61,-48.59
85.77E6,-60.52,-50.86
89.13E6,-61.44,-53.10
92.61E6,-62.38,-55.28
96.24E6,-63.33,-57.41
100.0E6,-64.29,-59.48
103.9E6,-65.26,-61.50
108.0E6,-66.24,-63.44
112.2E6,-67.23,-65.32
116.6E6,-68.23,-67.13
121.2E6,-69.24,-68.87
125.9E6,-70.26,-70.53
130.8E6,-71.28,-72.11
135.9E6,-72.31,-73.63
141.3E6,-73.33,-75.06
146.8E6,-74.37,-76.43
152.5E6,-75.40,-77.73
158.5E6,-76.43,-78.96
164.7E6,-77.47,-80.12
171.1E6,-78.50,-81.23
177.8E6,-79.53,-82.28
184.8E6,-80.56,-83.29
192.0E6,-81.58,-84.24
199.5E6,-82.60,-85.17
207.3E6,-83.62,-86.05
215.4E6,-84.63,-86.92
223.9E6,-85.63,-87.76
232.6E6,-86.64,-88.60
241.7E6,-87.63,-89.42
251.2E6,-88.62,-90.25
261.0E6,-89.61,-91.07
271.2E6,-90.59,-91.91
281.8E6,-91.57,-92.76
292.9E6,-92.54,-93.63
304.3E6,-93.51,-94.52
316.2E6,-94.48,-95.44
328.6E6,-95.45,-96.38
341.5E6,-96.41,-97.36
354.8E6,-97.37,-98.36
368.7E6,-98.33,-99.40
383.1E6,-99.28,-100.5
398.1E6,-100.2,-101.6
413.7E6,-101.2,-102.7
429.9E6,-102.1,-103.9
446.7E6,-103.1,-105.1
464.2E6,-104.1,-106.4
482.3E6,-105.0,-107.7
501.2E6,-106.0,-109.0
520.8E6,-106.9,-110.4
541.2E6,-107.9,-111.8
562.3E6,-108.8,-113.3
584.3E6,-109.8,-114.8
607.2E6,-110.8,-116.3
631.0E6,-111.7,-117.9
655.6E6,-112.7,-119.5
681.3E6,-113.6,-121.1
707.9E6,-114.6,-122.9
735.6E6,-115.6,-124.6
764.4E6,-116.5,-126.4
794.3E6,-117.5,-128.3
825.4E6,-118.5,-130.2
857.7E6,-119.5,-132.1
891.3E6,-120.5,-134.1
926.1E6,-121.5,-136.2
962.4E6,-122.5,-138.3
1.000E9,-123.5,-140.6
