freq (Hz),Loop Gain dB20 (dB),Loop Gain Phase (deg)
6.310E3,21.77,20.03
6.556E3,21.13,20.28
6.813E3,20.48,20.56
7.079E3,19.84,20.86
7.356E3,19.20,21.20
7.644E3,18.56,21.56
7.943E3,17.92,21.94
8.254E3,17.29,22.36
8.577E3,16.66,22.80
8.913E3,16.02,23.26
9.261E3,15.39,23.76
9.624E3,14.77,24.28
10.00E3,14.14,24.83
10.39E3,13.52,25.40
10.80E3,12.90,26.01
11.22E3,12.29,26.63
11.66E3,11.67,27.29
12.12E3,11.06,27.97
12.59E3,10.46,28.68
13.08E3,9.854,29.41
13.59E3,9.256,30.17
14.13E3,8.661,30.95
14.68E3,8.071,31.76
15.25E3,7.486,32.59
15.85E3,6.905,33.44
16.47E3,6.330,34.31
17.11E3,5.759,35.21
17.78E3,5.193,36.12
18.48E3,4.633,37.05
19.20E3,4.079,38.00
19.95E3,3.530,38.96
20.73E3,2.988,39.94
21.54E3,2.451,40.93
22.39E3,1.920,41.93
23.26E3,1.396,42.94
24.17E3,877.2E-3,43.96
25.12E3,365.3E-3,44.99
26.10E3,-140.3E-3,46.02
27.12E3,-639.6E-3,47.05
28.18E3,-1.132,48.08
29.29E3,-1.619,49.12
30.43E3,-2.099,50.15
31.62E3,-2.573,51.17
32.86E3,-3.041,52.19
34.15E3,-3.502,53.21
35.48E3,-3.958,54.22
36.87E3,-4.408,55.21
38.31E3,-4.852,56.20
39.81E3,-5.290,57.17
41.37E3,-5.723,58.13
42.99E3,-6.151,59.07
44.67E3,-6.574,60.00
46.42E3,-6.991,60.91
48.23E3,-7.404,61.80
50.12E3,-7.813,62.68
52.08E3,-8.217,63.53
54.12E3,-8.617,64.37
56.23E3,-9.013,65.19
58.43E3,-9.405,65.99
60.72E3,-9.793,66.76
63.10E3,-10.18,67.52
65.56E3,-10.56,68.26
68.13E3,-10.94,68.97
70.79E3,-11.31,69.67
73.56E3,-11.69,70.34
76.44E3,-12.06,70.99
79.43E3,-12.43,71.63
82.54E3,-12.79,72.24
85.77E3,-13.15,72.83
89.13E3,-13.52,73.41
92.61E3,-13.88,73.96
96.24E3,-14.23,74.50
100.0E3,-14.59,75.01
103.9E3,-14.94,75.51
108.0E3,-15.30,75.99
112.2E3,-15.65,76.45
116.6E3,-16.00,76.90
121.2E3,-16.35,77.33
125.9E3,-16.70,77.74
130.8E3,-17.04,78.14
135.9E3,-17.39,78.52
141.3E3,-17.73,78.88
146.8E3,-18.08,79.23
152.5E3,-18.42,79.57
158.5E3,-18.76,79.89
164.7E3,-19.11,80.20
171.1E3,-19.45,80.49
177.8E3,-19.79,80.77
184.8E3,-20.13,81.04
192.0E3,-20.47,81.29
199.5E3,-20.81,81.53
207.3E3,-21.15,81.77
215.4E3,-21.49,81.98
223.9E3,-21.82,82.19
232.6E3,-22.16,82.39
241.7E3,-22.50,82.57
251.2E3,-22.84,82.75
261.0E3,-23.17,82.91
271.2E3,-23.51,83.07
281.8E3,-23.85,83.21
292.9E3,-24.18,83.35
304.3E3,-24.52,83.47
316.2E3,-24.85,83.59
328.6E3,-25.19,83.69
341.5E3,-25.53,83.79
354.8E3,-25.86,83.88
368.7E3,-26.20,83.96
383.1E3,-26.53,84.03
398.1E3,-26.87,84.09
413.7E3,-27.20,84.14
429.9E3,-27.54,84.19
446.7E3,-27.87,84.22
464.2E3,-28.20,84.25
482.3E3,-28.54,84.27
501.2E3,-28.87,84.28
520.8E3,-29.21,84.28
541.2E3,-29.54,84.27
562.3E3,-29.88,84.26
584.3E3,-30.21,84.24
607.2E3,-30.54,84.21
631.0E3,-30.88,84.17
655.6E3,-31.21,84.12
681.3E3,-31.55,84.06
707.9E3,-31.88,83.99
735.6E3,-32.21,83.92
764.4E3,-32.55,83.83
794.3E3,-32.88,83.74
825.4E3,-33.22,83.64
857.7E3,-33.55,83.53
891.3E3,-33.88,83.41
926.1E3,-34.22,83.28
962.4E3,-34.55,83.14
1.000E6,-34.89,82.99
1.039E6,-35.22,82.83
1.080E6,-35.55,82.65
1.122E6,-35.89,82.47
1.166E6,-36.22,82.28
1.212E6,-36.56,82.07
1.259E6,-36.89,81.86
1.308E6,-37.22,81.63
1.359E6,-37.56,81.39
1.413E6,-37.89,81.14
1.468E6,-38.23,80.87
1.525E6,-38.56,80.59
1.585E6,-38.90,80.30
1.647E6,-39.23,79.99
1.711E6,-39.56,79.67
1.778E6,-39.90,79.33
1.848E6,-40.23,78.98
1.920E6,-40.57,78.61
1.995E6,-40.90,78.23
2.073E6,-41.24,77.83
2.154E6,-41.57,77.41
2.239E6,-41.91,76.97
2.326E6,-42.24,76.51
2.417E6,-42.58,76.03
2.512E6,-42.91,75.54
2.610E6,-43.25,75.02
2.712E6,-43.59,74.48
2.818E6,-43.92,73.92
2.929E6,-44.26,73.34
3.043E6,-44.60,72.73
3.162E6,-44.93,72.10
3.286E6,-45.27,71.44
3.415E6,-45.61,70.75
3.548E6,-45.95,70.04
3.687E6,-46.28,69.30
3.831E6,-46.62,68.53
3.981E6,-46.96,67.73
4.137E6,-47.30,66.91
4.299E6,-47.64,66.04
4.467E6,-47.98,65.15
4.642E6,-48.32,64.22
4.823E6,-48.66,63.26
5.012E6,-49.00,62.26
5.208E6,-49.35,61.22
5.412E6,-49.69,60.14
5.623E6,-50.03,59.03
5.843E6,-50.38,57.87
6.072E6,-50.73,56.67
6.310E6,-51.07,55.43
6.556E6,-51.42,54.15
6.813E6,-51.77,52.82
7.079E6,-52.12,51.44
7.356E6,-52.47,50.02
7.644E6,-52.82,48.54
7.943E6,-53.18,47.02
8.254E6,-53.53,45.45
8.577E6,-53.89,43.82
8.913E6,-54.24,42.15
9.261E6,-54.60,40.42
9.624E6,-54.97,38.63
10.00E6,-55.33,36.79
10.39E6,-55.69,34.90
10.80E6,-56.06,32.95
11.22E6,-56.43,30.94
11.66E6,-56.80,28.88
12.12E6,-57.18,26.77
12.59E6,-57.55,24.59
13.08E6,-57.93,22.36
13.59E6,-58.31,20.08
14.13E6,-58.69,17.74
14.68E6,-59.08,15.34
15.25E6,-59.47,12.90
15.85E6,-59.86,10.40
16.47E6,-60.26,7.848
17.11E6,-60.65,5.249
17.78E6,-61.05,2.603
18.48E6,-61.46,-89.34E-3
19.20E6,-61.86,-2.825
19.95E6,-62.27,-5.602
20.73E6,-62.68,-8.419
21.54E6,-63.10,-11.27
22.39E6,-63.52,-14.16
23.26E6,-63.94,-17.08
24.17E6,-64.36,-20.03
25.12E6,-64.79,-23.00
26.10E6,-65.22,-26.00
27.12E6,-65.65,-29.02
28.18E6,-66.09,-32.05
29.29E6,-66.52,-35.10
30.43E6,-66.97,-38.16
31.62E6,-67.41,-41.23
32.86E6,-67.86,-44.31
34.15E6,-68.31,-47.39
35.48E6,-68.76,-50.48
36.87E6,-69.22,-53.56
38.31E6,-69.68,-56.64
39.81E6,-70.14,-59.71
41.37E6,-70.61,-62.77
42.99E6,-71.08,-65.83
44.67E6,-71.55,-68.87
46.42E6,-72.03,-71.90
48.23E6,-72.51,-74.92
50.12E6,-73.00,-77.91
52.08E6,-73.49,-80.89
54.12E6,-73.99,-83.85
56.23E6,-74.49,-86.78
58.43E6,-75.00,-89.69
60.72E6,-75.52,-92.58
63.10E6,-76.03,-95.43
65.56E6,-76.56,-98.26
68.13E6,-77.09,-101.1
70.79E6,-77.63,-103.8
73.56E6,-78.17,-106.6
76.44E6,-78.72,-109.3
79.43E6,-79.28,-111.9
82.54E6,-79.84,-114.6
85.77E6,-80.42,-117.2
89.13E6,-80.99,-119.7
92.61E6,-81.58,-122.2
96.24E6,-82.17,-124.7
100.0E6,-82.77,-127.1
103.9E6,-83.38,-129.5
108.0E6,-83.99,-131.9
112.2E6,-84.61,-134.2
116.6E6,-85.24,-136.4
121.2E6,-85.88,-138.6
125.9E6,-86.52,-140.8
130.8E6,-87.17,-142.9
135.9E6,-87.82,-144.9
141.3E6,-88.49,-146.9
146.8E6,-89.15,-148.8
152.5E6,-89.83,-150.7
158.5E6,-90.51,-152.6
164.7E6,-91.19,-154.4
171.1E6,-91.88,-156.1
177.8E6,-92.57,-157.8
184.8E6,-93.27,-159.4
192.0E6,-93.97,-161.0
199.5E6,-94.68,-162.5
207.3E6,-95.39,-163.9
215.4E6,-96.10,-165.3
223.9E6,-96.82,-166.7
232.6E6,-97.53,-168.0
241.7E6,-98.25,-169.3
251.2E6,-98.98,-170.5
261.0E6,-99.70,-171.7
271.2E6,-100.4,-172.8
281.8E6,-101.2,-173.9
292.9E6,-101.9,-175.0
304.3E6,-102.6,-176.0
316.2E6,-103.3,-177.0
328.6E6,-104.1,-178.0
341.5E6,-104.8,-178.9
354.8E6,-105.5,-179.8
368.7E6,-106.3,-180.7
383.1E6,-107.0,-181.6
398.1E6,-107.7,-182.4
413.7E6,-108.4,-183.3
429.9E6,-109.2,-184.1
446.7E6,-109.9,-185.0
464.2E6,-110.6,-185.8
482.3E6,-111.4,-186.6
501.2E6,-112.1,-187.5
520.8E6,-112.9,-188.3
541.2E6,-113.6,-189.1
562.3E6,-114.3,-190.0
584.3E6,-115.1,-190.9
607.2E6,-115.8,-191.8
631.0E6,-116.6,-192.7
655.6E6,-117.3,-193.7
681.3E6,-118.1,-194.7
707.9E6,-118.8,-195.7
735.6E6,-119.6,-196.8
764.4E6,-120.4,-198.0
794.3E6,-121.1,-199.2
825.4E6,-121.9,-200.5
857.7E6,-122.7,-201.8
891.3E6,-123.5,-203.3
926.1E6,-124.3,-204.8
962.4E6,-125.1,-206.5
1.000E9,-126.0,-208.3
