freq (Hz),Loop Gain dB20 (dB),Loop Gain Phase (deg)
7.356E3,42.34,76.08
7.644E3,41.95,75.70
7.943E3,41.56,75.31
8.254E3,41.16,74.93
8.577E3,40.75,74.55
8.913E3,40.35,74.18
9.261E3,39.94,73.81
9.624E3,39.53,73.45
10.00E3,39.12,73.10
10.39E3,38.70,72.76
10.80E3,38.28,72.44
11.22E3,37.85,72.12
11.66E3,37.43,71.83
12.12E3,37.00,71.55
12.59E3,36.56,71.28
13.08E3,36.13,71.04
13.59E3,35.69,70.82
14.13E3,35.25,70.62
14.68E3,34.81,70.44
15.25E3,34.37,70.29
15.85E3,33.92,70.16
16.47E3,33.48,70.06
17.11E3,33.03,69.98
17.78E3,32.58,69.93
18.48E3,32.13,69.91
19.20E3,31.69,69.92
19.95E3,31.24,69.95
20.73E3,30.79,70.01
21.54E3,30.34,70.10
22.39E3,29.90,70.21
23.26E3,29.46,70.35
24.17E3,29.01,70.51
25.12E3,28.57,70.69
26.10E3,28.14,70.90
27.12E3,27.70,71.13
28.18E3,27.27,71.38
29.29E3,26.84,71.64
30.43E3,26.41,71.92
31.62E3,25.98,72.22
32.86E3,25.56,72.53
34.15E3,25.15,72.86
35.48E3,24.73,73.19
36.87E3,24.32,73.54
38.31E3,23.91,73.89
39.81E3,23.50,74.25
41.37E3,23.10,74.61
42.99E3,22.70,74.98
44.67E3,22.31,75.34
46.42E3,21.91,75.71
48.23E3,21.52,76.08
50.12E3,21.14,76.45
52.08E3,20.75,76.82
54.12E3,20.37,77.18
56.23E3,19.99,77.54
58.43E3,19.62,77.90
60.72E3,19.24,78.25
63.10E3,18.87,78.60
65.56E3,18.50,78.94
68.13E3,18.14,79.27
70.79E3,17.77,79.60
73.56E3,17.41,79.91
76.44E3,17.05,80.23
79.43E3,16.69,80.53
82.54E3,16.33,80.82
85.77E3,15.98,81.11
89.13E3,15.62,81.39
92.61E3,15.27,81.66
96.24E3,14.92,81.93
100.0E3,14.57,82.18
103.9E3,14.22,82.43
108.0E3,13.87,82.66
112.2E3,13.52,82.89
116.6E3,13.18,83.11
121.2E3,12.83,83.33
125.9E3,12.49,83.53
130.8E3,12.14,83.73
135.9E3,11.80,83.92
141.3E3,11.46,84.10
146.8E3,11.12,84.28
152.5E3,10.78,84.45
158.5E3,10.44,84.61
164.7E3,10.10,84.76
171.1E3,9.757,84.91
177.8E3,9.418,85.05
184.8E3,9.079,85.18
192.0E3,8.741,85.31
199.5E3,8.403,85.43
207.3E3,8.065,85.54
215.4E3,7.728,85.65
223.9E3,7.391,85.75
232.6E3,7.054,85.85
241.7E3,6.718,85.94
251.2E3,6.381,86.02
261.0E3,6.045,86.10
271.2E3,5.709,86.17
281.8E3,5.374,86.24
292.9E3,5.038,86.30
304.3E3,4.703,86.36
316.2E3,4.368,86.41
328.6E3,4.032,86.46
341.5E3,3.697,86.50
354.8E3,3.363,86.54
368.7E3,3.028,86.57
383.1E3,2.693,86.59
398.1E3,2.358,86.62
413.7E3,2.024,86.63
429.9E3,1.689,86.64
446.7E3,1.355,86.65
464.2E3,1.021,86.65
482.3E3,686.4E-3,86.65
501.2E3,352.1E-3,86.64
520.8E3,17.93E-3,86.63
541.2E3,-316.2E-3,86.61
562.3E3,-650.4E-3,86.59
584.3E3,-984.5E-3,86.56
607.2E3,-1.319,86.53
631.0E3,-1.653,86.49
655.6E3,-1.987,86.45
681.3E3,-2.321,86.40
707.9E3,-2.655,86.34
735.6E3,-2.989,86.28
764.4E3,-3.323,86.22
794.3E3,-3.657,86.15
825.4E3,-3.991,86.07
857.7E3,-4.325,85.99
891.3E3,-4.660,85.91
926.1E3,-4.994,85.81
962.4E3,-5.328,85.71
1.000E6,-5.662,85.61
1.039E6,-5.997,85.49
1.080E6,-6.331,85.38
1.122E6,-6.665,85.25
1.166E6,-7.000,85.12
1.212E6,-7.334,84.98
1.259E6,-7.669,84.83
1.308E6,-8.004,84.68
1.359E6,-8.338,84.51
1.413E6,-8.673,84.34
1.468E6,-9.008,84.16
1.525E6,-9.343,83.98
1.585E6,-9.679,83.78
1.647E6,-10.01,83.58
1.711E6,-10.35,83.36
1.778E6,-10.69,83.14
1.848E6,-11.02,82.90
1.920E6,-11.36,82.66
1.995E6,-11.69,82.40
2.073E6,-12.03,82.14
2.154E6,-12.37,81.86
2.239E6,-12.70,81.57
2.326E6,-13.04,81.27
2.417E6,-13.38,80.95
2.512E6,-13.72,80.63
2.610E6,-14.06,80.29
2.712E6,-14.39,79.93
2.818E6,-14.73,79.56
2.929E6,-15.07,79.18
3.043E6,-15.41,78.78
3.162E6,-15.75,78.36
3.286E6,-16.09,77.93
3.415E6,-16.44,77.48
3.548E6,-16.78,77.02
3.687E6,-17.12,76.53
3.831E6,-17.47,76.03
3.981E6,-17.81,75.51
4.137E6,-18.16,74.96
4.299E6,-18.50,74.40
4.467E6,-18.85,73.81
4.642E6,-19.20,73.21
4.823E6,-19.55,72.58
5.012E6,-19.90,71.92
5.208E6,-20.25,71.25
5.412E6,-20.61,70.54
5.623E6,-20.96,69.82
5.843E6,-21.32,69.06
6.072E6,-21.68,68.28
6.310E6,-22.04,67.47
6.556E6,-22.40,66.63
6.813E6,-22.77,65.77
7.079E6,-23.13,64.87
7.356E6,-23.50,63.94
7.644E6,-23.88,62.98
7.943E6,-24.25,61.99
8.254E6,-24.63,60.97
8.577E6,-25.01,59.91
8.913E6,-25.40,58.82
9.261E6,-25.79,57.70
9.624E6,-26.18,56.54
10.00E6,-26.58,55.35
10.39E6,-26.98,54.12
10.80E6,-27.38,52.86
11.22E6,-27.79,51.56
11.66E6,-28.21,50.23
12.12E6,-28.63,48.86
12.59E6,-29.06,47.45
13.08E6,-29.49,46.01
13.59E6,-29.93,44.53
14.13E6,-30.37,43.02
14.68E6,-30.82,41.48
15.25E6,-31.28,39.90
15.85E6,-31.74,38.29
16.47E6,-32.22,36.64
17.11E6,-32.70,34.97
17.78E6,-33.18,33.26
18.48E6,-33.68,31.53
19.20E6,-34.18,29.77
19.95E6,-34.69,27.98
20.73E6,-35.21,26.16
21.54E6,-35.74,24.32
22.39E6,-36.28,22.46
23.26E6,-36.83,20.57
24.17E6,-37.38,18.67
25.12E6,-37.95,16.74
26.10E6,-38.52,14.80
27.12E6,-39.10,12.84
28.18E6,-39.70,10.86
29.29E6,-40.30,8.873
30.43E6,-40.91,6.869
31.62E6,-41.53,4.853
32.86E6,-42.16,2.825
34.15E6,-42.80,787.1E-3
35.48E6,-43.44,-1.260
36.87E6,-44.10,-3.316
38.31E6,-44.77,-5.380
39.81E6,-45.45,-7.451
41.37E6,-46.13,-9.528
42.99E6,-46.83,-11.61
44.67E6,-47.53,-13.70
46.42E6,-48.25,-15.79
48.23E6,-48.97,-17.88
50.12E6,-49.70,-19.98
52.08E6,-50.45,-22.08
54.12E6,-51.20,-24.17
56.23E6,-51.96,-26.27
58.43E6,-52.73,-28.37
60.72E6,-53.52,-30.46
63.10E6,-54.31,-32.55
65.56E6,-55.11,-34.64
68.13E6,-55.92,-36.72
70.79E6,-56.74,-38.80
73.56E6,-57.57,-40.86
76.44E6,-58.41,-42.92
79.43E6,-59.26,-44.96
82.54E6,-60.12,-47.00
85.77E6,-60.99,-49.02
89.13E6,-61.87,-51.02
92.61E6,-62.76,-53.01
96.24E6,-63.65,-54.98
100.0E6,-64.56,-56.93
103.9E6,-65.48,-58.86
108.0E6,-66.40,-60.76
112.2E6,-67.33,-62.65
116.6E6,-68.27,-64.50
121.2E6,-69.22,-66.33
125.9E6,-70.18,-68.14
130.8E6,-71.15,-69.91
135.9E6,-72.12,-71.65
141.3E6,-73.10,-73.36
146.8E6,-74.09,-75.04
152.5E6,-75.08,-76.69
158.5E6,-76.08,-78.30
164.7E6,-77.08,-79.88
171.1E6,-78.09,-81.42
177.8E6,-79.11,-82.93
184.8E6,-80.13,-84.41
192.0E6,-81.15,-85.85
199.5E6,-82.18,-87.26
207.3E6,-83.21,-88.63
215.4E6,-84.25,-89.97
223.9E6,-85.28,-91.28
232.6E6,-86.32,-92.56
241.7E6,-87.36,-93.81
251.2E6,-88.41,-95.04
261.0E6,-89.45,-96.24
271.2E6,-90.49,-97.41
281.8E6,-91.54,-98.56
292.9E6,-92.58,-99.70
304.3E6,-93.62,-100.8
316.2E6,-94.67,-101.9
328.6E6,-95.71,-103.0
341.5E6,-96.75,-104.1
354.8E6,-97.79,-105.2
368.7E6,-98.83,-106.2
383.1E6,-99.87,-107.3
398.1E6,-100.9,-108.4
413.7E6,-101.9,-109.4
429.9E6,-103.0,-110.5
446.7E6,-104.0,-111.6
464.2E6,-105.0,-112.7
482.3E6,-106.1,-113.8
501.2E6,-107.1,-115.0
520.8E6,-108.1,-116.1
541.2E6,-109.2,-117.3
562.3E6,-110.2,-118.5
584.3E6,-111.2,-119.7
607.2E6,-112.2,-120.9
631.0E6,-113.2,-122.2
655.6E6,-114.3,-123.5
681.3E6,-115.3,-124.9
707.9E6,-116.3,-126.3
735.6E6,-117.3,-127.7
764.4E6,-118.4,-129.2
794.3E6,-119.4,-130.7
825.4E6,-120.4,-132.3
857.7E6,-121.4,-133.9
891.3E6,-122.5,-135.6
926.1E6,-123.5,-137.3
962.4E6,-124.6,-139.1
1.000E9,-125.6,-141.1
