freq (Hz),Loop Gain Phase (deg),Loop Gain dB20 (dB)
446.7E6,-115.6,-106.9
464.2E6,-116.7,-107.9
482.3E6,-117.8,-108.9
501.2E6,-119.0,-110.0
520.8E6,-120.2,-111.0
541.2E6,-121.4,-112.0
562.3E6,-122.6,-113.0
584.3E6,-123.9,-114.0
607.2E6,-125.2,-115.0
631.0E6,-126.5,-116.0
655.6E6,-127.9,-117.0
681.3E6,-129.3,-118.0
707.9E6,-130.8,-119.0
735.6E6,-132.3,-120.0
764.4E6,-133.9,-121.0
794.3E6,-135.6,-122.0
825.4E6,-137.3,-123.0
857.7E6,-139.0,-124.0
891.3E6,-140.8,-125.1
926.1E6,-142.8,-126.1
962.4E6,-144.7,-127.1
1.000E9,-146.8,-128.1
