freq (Hz),Loop Gain Phase (deg),Loop Gain dB20 (dB)
29.29E6,-42.31,-68.02
30.43E6,-45.46,-68.44
31.62E6,-48.62,-68.87
32.86E6,-51.78,-69.30
34.15E6,-54.94,-69.73
35.48E6,-58.10,-70.16
36.87E6,-61.24,-70.61
38.31E6,-64.38,-71.05
39.81E6,-67.50,-71.50
41.37E6,-70.61,-71.96
42.99E6,-73.71,-72.42
44.67E6,-76.78,-72.89
46.42E6,-79.84,-73.37
48.23E6,-82.88,-73.84
50.12E6,-85.89,-74.33
52.08E6,-88.88,-74.82
54.12E6,-91.84,-75.32
56.23E6,-94.77,-75.83
58.43E6,-97.68,-76.34
60.72E6,-100.6,-76.86
63.10E6,-103.4,-77.39
65.56E6,-106.2,-77.92
68.13E6,-109.0,-78.47
70.79E6,-111.7,-79.02
73.56E6,-114.4,-79.57
76.44E6,-117.1,-80.14
79.43E6,-119.7,-80.71
82.54E6,-122.3,-81.30
85.77E6,-124.8,-81.89
89.13E6,-127.3,-82.48
92.61E6,-129.8,-83.09
96.24E6,-132.2,-83.70
100.0E6,-134.5,-84.33
103.9E6,-136.8,-84.96
108.0E6,-139.1,-85.59
112.2E6,-141.3,-86.24
116.6E6,-143.4,-86.89
121.2E6,-145.5,-87.55
125.9E6,-147.5,-88.22
130.8E6,-149.5,-88.89
135.9E6,-151.4,-89.57
141.3E6,-153.3,-90.25
146.8E6,-155.1,-90.94
152.5E6,-156.9,-91.64
158.5E6,-158.6,-92.34
164.7E6,-160.2,-93.05
171.1E6,-161.8,-93.76
177.8E6,-163.3,-94.47
184.8E6,-164.7,-95.19
192.0E6,-166.1,-95.91
199.5E6,-167.5,-96.63
207.3E6,-168.8,-97.36
215.4E6,-170.0,-98.09
223.9E6,-171.2,-98.82
232.6E6,-172.3,-99.55
241.7E6,-173.4,-100.3
251.2E6,-174.5,-101.0
261.0E6,-175.5,-101.7
271.2E6,-176.5,-102.5
281.8E6,-177.4,-103.2
292.9E6,-178.3,-103.9
304.3E6,-179.2,-104.7
316.2E6,-180.0,-105.4
328.6E6,-180.8,-106.1
341.5E6,-181.6,-106.9
354.8E6,-182.4,-107.6
368.7E6,-183.1,-108.3
383.1E6,-183.9,-109.1
398.1E6,-184.6,-109.8
413.7E6,-185.4,-110.5
429.9E6,-186.1,-111.3
446.7E6,-186.8,-112.0
464.2E6,-187.5,-112.7
482.3E6,-188.3,-113.4
501.2E6,-189.0,-114.2
520.8E6,-189.8,-114.9
541.2E6,-190.5,-115.6
562.3E6,-191.3,-116.4
584.3E6,-192.1,-117.1
607.2E6,-193.0,-117.8
631.0E6,-193.9,-118.6
655.6E6,-194.8,-119.3
681.3E6,-195.7,-120.1
707.9E6,-196.8,-120.8
735.6E6,-197.8,-121.6
764.4E6,-198.9,-122.3
794.3E6,-200.1,-123.1
825.4E6,-201.4,-123.9
857.7E6,-202.8,-124.7
891.3E6,-204.2,-125.5
926.1E6,-205.8,-126.3
962.4E6,-207.5,-127.1
1.000E9,-209.3,-127.9
