freq (Hz),Loop Gain dB20 (dB),Loop Gain Phase (deg)
4.467E6,-50.20,67.01
4.642E6,-50.53,66.15
4.823E6,-50.87,65.25
5.012E6,-51.20,64.33
5.208E6,-51.53,63.36
5.412E6,-51.86,62.36
5.623E6,-52.19,61.33
5.843E6,-52.52,60.25
6.072E6,-52.85,59.14
6.310E6,-53.18,57.99
6.556E6,-53.51,56.79
6.813E6,-53.84,55.55
7.079E6,-54.17,54.27
7.356E6,-54.50,52.95
7.644E6,-54.83,51.57
7.943E6,-55.16,50.15
8.254E6,-55.49,48.68
8.577E6,-55.82,47.17
8.913E6,-56.15,45.60
9.261E6,-56.48,43.98
9.624E6,-56.81,42.31
10.00E6,-57.14,40.59
10.39E6,-57.47,38.81
10.80E6,-57.79,36.98
11.22E6,-58.12,35.10
11.66E6,-58.45,33.16
12.12E6,-58.78,31.16
12.59E6,-59.11,29.11
13.08E6,-59.43,27.01
13.59E6,-59.76,24.85
14.13E6,-60.09,22.64
14.68E6,-60.42,20.37
15.25E6,-60.75,18.05
15.85E6,-61.07,15.68
16.47E6,-61.40,13.25
17.11E6,-61.73,10.78
17.78E6,-62.06,8.257
18.48E6,-62.39,5.688
19.20E6,-62.72,3.073
19.95E6,-63.05,415.7E-3
20.73E6,-63.39,-2.283
21.54E6,-63.72,-5.021
22.39E6,-64.05,-7.795
23.26E6,-64.39,-10.60
24.17E6,-64.73,-13.45
25.12E6,-65.06,-16.32
26.10E6,-65.40,-19.21
27.12E6,-65.74,-22.14
28.18E6,-66.09,-25.08
29.29E6,-66.43,-28.05
30.43E6,-66.78,-31.03
31.62E6,-67.13,-34.04
32.86E6,-67.48,-37.05
34.15E6,-67.83,-40.08
35.48E6,-68.19,-43.12
36.87E6,-68.55,-46.18
38.31E6,-68.91,-49.24
39.81E6,-69.28,-52.31
41.37E6,-69.65,-55.38
42.99E6,-70.02,-58.47
44.67E6,-70.40,-61.56
46.42E6,-70.79,-64.66
48.23E6,-71.18,-67.76
50.12E6,-71.58,-70.86
52.08E6,-71.98,-73.97
54.12E6,-72.40,-77.08
56.23E6,-72.82,-80.18
58.43E6,-73.25,-83.29
60.72E6,-73.69,-86.39
63.10E6,-74.14,-89.49
65.56E6,-74.60,-92.58
68.13E6,-75.07,-95.66
70.79E6,-75.55,-98.71
73.56E6,-76.05,-101.8
76.44E6,-76.56,-104.8
79.43E6,-77.08,-107.8
82.54E6,-77.61,-110.7
85.77E6,-78.16,-113.6
89.13E6,-78.72,-116.5
92.61E6,-79.30,-119.3
96.24E6,-79.89,-122.0
100.0E6,-80.49,-124.7
103.9E6,-81.10,-127.3
108.0E6,-81.73,-129.9
112.2E6,-82.36,-132.4
116.6E6,-83.01,-134.7
121.2E6,-83.67,-137.1
125.9E6,-84.34,-139.3
130.8E6,-85.01,-141.4
135.9E6,-85.70,-143.5
141.3E6,-86.39,-145.4
146.8E6,-87.08,-147.3
152.5E6,-87.79,-149.0
158.5E6,-88.49,-150.7
164.7E6,-89.20,-152.3
171.1E6,-89.91,-153.8
177.8E6,-90.62,-155.2
184.8E6,-91.33,-156.5
192.0E6,-92.04,-157.8
199.5E6,-92.75,-158.9
207.3E6,-93.46,-160.0
215.4E6,-94.17,-161.1
223.9E6,-94.87,-162.0
232.6E6,-95.57,-163.0
241.7E6,-96.27,-163.8
251.2E6,-96.96,-164.7
261.0E6,-97.64,-165.4
271.2E6,-98.32,-166.2
281.8E6,-99.00,-166.9
292.9E6,-99.67,-167.6
304.3E6,-100.3,-168.3
316.2E6,-101.0,-169.0
328.6E6,-101.7,-169.7
341.5E6,-102.3,-170.4
354.8E6,-103.0,-171.2
368.7E6,-103.6,-171.9
383.1E6,-104.3,-172.6
398.1E6,-104.9,-173.4
413.7E6,-105.6,-174.1
429.9E6,-106.2,-175.0
446.7E6,-106.9,-175.8
464.2E6,-107.5,-176.6
482.3E6,-108.2,-177.5
501.2E6,-108.8,-178.4
520.8E6,-109.5,-179.4
541.2E6,-110.1,-180.4
562.3E6,-110.8,-181.4
584.3E6,-111.4,-182.5
607.2E6,-112.1,-183.6
631.0E6,-112.8,-184.7
655.6E6,-113.4,-185.9
681.3E6,-114.1,-187.1
707.9E6,-114.8,-188.4
735.6E6,-115.5,-189.7
764.4E6,-116.2,-191.1
794.3E6,-116.9,-192.5
825.4E6,-117.6,-194.1
857.7E6,-118.3,-195.6
891.3E6,-119.1,-197.3
926.1E6,-119.8,-199.0
962.4E6,-120.5,-200.8
1.000E9,-121.3,-202.8
